Player 1,P1 Score,Player 2,P2 Score,Winner
CF Base AI,32,CF Random AI,117,CF Random AI
CF Random AI,56,CF Base AI,3,CF Random AI
CF Base AI,-16,CF Random AI,55,CF Random AI
CF Random AI,70,CF Base AI,-7,CF Random AI
CF Base AI,-5,CF Random AI,51,CF Random AI
CF Random AI,54,CF Base AI,-12,CF Random AI
CF Base AI,-4,CF Random AI,58,CF Random AI
CF Random AI,50,CF Base AI,-18,CF Random AI
CF Base AI,-1,CF Random AI,48,CF Random AI
CF Random AI,53,CF Base AI,2,CF Random AI
