Player 1,P1 Score,Player 2,P2 Score,Winner
CF Base AI,127,CF Random AI,55,CF Base AI
CF Random AI,117,CF Base AI,66,CF Random AI
CF Base AI,-17,CF Random AI,55,CF Random AI
CF Random AI,46,CF Base AI,-11,CF Random AI
