Player 1,P1 Score,Player 2,P2 Score,Winner
CF Base AI,82,CF Random AI,124,CF Random AI
CF Random AI,63,CF Base AI,-20,CF Random AI
CF Base AI,-1,CF Random AI,61,CF Random AI
CF Random AI,73,CF Base AI,-22,CF Random AI
