Player 1,P1 Score,Player 2,P2 Score,Winner
CF Base AI,117,CF Random AI,62,CF Base AI
CF Random AI,-7,CF Base AI,107,CF Base AI
CF Base AI,116,CF Random AI,3,CF Base AI
CF Random AI,24,CF Base AI,101,CF Base AI
