Player 1,P1 Score,Player 2,P2 Score,Winner
CF Base AI,122,CF Random AI,45,CF Base AI
CF Random AI,91,CF Base AI,35,CF Random AI
CF Base AI,65,CF Random AI,126,CF Random AI
CF Random AI,107,CF Base AI,20,CF Random AI
