Player 1,P1 Score,Player 2,P2 Score,Winner
CF Base AI,118,CF Random AI,63,CF Base AI
CF Random AI,61,CF Base AI,26,CF Random AI
CF Base AI,114,CF Random AI,55,CF Base AI
CF Random AI,7,CF Base AI,130,CF Base AI
